word,phonetic,definition_en,definition_ja,sentence_1,sentence_2,sentence_3
alone,/əˈləʊn/,Without other people.,一人で,She lives alone.,I was alone at home.,He likes to study alone.
tired,/taɪəd/,Needing rest or sleep.,疲れている,I am very tired today.,She was tired after running.,He looks tired.
pizza,/ˈpiːt.sə/,A flat round food with cheese on top.,ピザ,I like pizza very much.,Let's order a pizza.,She made pizza for dinner.
beef,/biːf/,Meat from a cow.,牛肉,I had beef for dinner.,This beef is very tender.,She cooked beef curry.
trumpet,/ˈtrʌm.pɪt/,A brass musical instrument you blow into.,トランペット,He plays the trumpet.,The trumpet has a loud sound.,She is learning to play the trumpet.
violin,/ˌvaɪ.əˈlɪn/,A stringed musical instrument played with a bow.,バイオリン,She plays the violin beautifully.,I want to learn the violin.,The violin makes a lovely sound.
video game,/ˈvɪd.i.əʊ ɡeɪm/,A game played on a screen.,ビデオゲーム・テレビゲーム,I like playing video games.,He bought a new video game.,Don't play video games too much.
dictionary,/ˈdɪk.ʃən.ər.i/,A book that explains the meanings of words.,辞書,Look it up in the dictionary.,I use an English dictionary.,She bought a new dictionary.
actor,/ˈæk.tər/,A person who acts in movies or plays.,俳優,He is a famous actor.,She wants to be an actor.,The actor was very talented.
airplane,/ˈeə.pleɪn/,A vehicle that flies in the sky.,飛行機,The airplane took off on time.,I saw an airplane in the sky.,We traveled by airplane.
glove,/ɡlʌv/,A covering for your hand.,手袋,She wore warm gloves.,I lost one glove.,Put on your gloves.
rainy,/ˈreɪ.ni/,Having a lot of rain.,雨の,It is a rainy day today.,Bring an umbrella on rainy days.,June is a rainy month in Japan.
stew,/stjuː/,A dish of meat and vegetables cooked slowly.,シチュー,My mother made beef stew.,The stew is very warm and tasty.,I like eating stew in winter.
so,/səʊ/,To a great degree or very.,とても,I am so happy today.,She runs so fast.,It is so cold outside.
have to,/hæv tuː/,To be required to do something.,～しなければならない,I have to go to school.,She has to study tonight.,We have to clean the room.
something,/ˈsʌm.θɪŋ/,An unknown or unnamed thing.,何か,I want to eat something.,Did you say something?,Something smells good.
tent,/tent/,A shelter made of cloth used for camping.,テント,We put up a tent in the field.,The tent was small but warm.,They slept in a tent.
cloud,/klaʊd/,A white or grey mass in the sky.,雲,There are no clouds in the sky.,The clouds look like animals.,Dark clouds mean rain is coming.
cute,/kjuːt/,Attractive in a sweet way.,かわいい,Your dog is very cute.,She drew a cute picture.,The baby is so cute!
artist,/ˈɑː.tɪst/,A person who creates art.,芸術家・美術家,She is a famous artist.,The artist painted a beautiful picture.,I want to be an artist.
musician,/mjuːˈzɪʃ.ən/,A person who plays music.,音楽家・ミュージシャン,He is a talented musician.,The musician played the guitar.,She wants to be a musician.
poster,/ˈpəʊ.stər/,A large printed picture or notice.,ポスター,There is a poster on the wall.,She made a poster for the festival.,I bought a movie poster.
healthy,/ˈhel.θi/,In good condition of body and mind.,健康な・健康によい,Eating vegetables is healthy.,She is a healthy girl.,Exercise keeps you healthy.
Halloween,/ˌhæl.əʊˈiːn/,A holiday on October 31st with costumes.,ハロウィーン,We wear costumes on Halloween.,Halloween is very fun.,She made a pumpkin for Halloween.
cookie,/ˈkʊk.i/,A small flat sweet cake.,クッキー,She baked chocolate cookies.,Would you like a cookie?,I ate two cookies after lunch.
tie,/taɪ/,A long narrow piece of cloth worn around the neck.,ネクタイ,He wears a red tie.,My father put on his tie.,She gave him a tie for his birthday.
movie,/ˈmuː.vi/,A story shown on a screen.,映画,Let's watch a movie tonight.,That was a great movie.,What movie do you want to see?
cousin,/ˈkʌz.ən/,A child of your uncle or aunt.,いとこ,My cousin lives in Osaka.,She visited her cousin.,I played with my cousin yesterday.
pretty,/ˈprɪt.i/,Nice to look at.,きれいな,She is very pretty.,What a pretty flower!,The dress is very pretty.
steak,/steɪk/,A thick piece of meat.,ステーキ,I ate a steak for dinner.,She likes steak with salad.,The steak was very tender.
museum,/mjuːˈziː.əm/,A building where you can see art or historical things.,博物館,We visited the science museum.,The museum was very interesting.,There is a new museum in town.
both,/bəʊθ/,Two people or things together.,両方の,I like both cats and dogs.,Both answers are correct.,They are both students.
toast,/təʊst/,Bread that has been made brown by heat.,トースト,I had toast for breakfast.,She made toast and jam.,Would you like some toast?
but,/bʌt/,Used to introduce something different.,しかし,I like cats but I have a dog.,She is small but very strong.,The test was hard but fair.
sky,/skaɪ/,The space above the earth.,空,The sky is blue today.,I saw a bird in the sky.,Stars shine in the night sky.
engineer,/ˌen.dʒɪˈnɪər/,A person who designs or builds things.,技師・技術者,He is a software engineer.,She wants to be an engineer.,The engineer designed a bridge.
singer,/ˈsɪŋ.ər/,A person who sings.,歌手,She is a popular singer.,The singer has a beautiful voice.,I want to be a singer.
writer,/ˈraɪ.tər/,A person who writes books or stories.,作家・作者,He is a famous writer.,She is a great writer.,The writer published a new book.
smile,/smaɪl/,To show happiness with your face.,ほほえむ,She smiled at me.,He always has a big smile.,Please smile for the photo.
drum,/drʌm/,A musical instrument you hit with sticks.,ドラム,He plays the drums.,The drum makes a loud sound.,She practices drums after school.
musical,/ˈmjuː.zɪ.kəl/,A play or movie with singing and dancing.,ミュージカル,We saw a musical last weekend.,She loves watching musicals.,The musical was wonderful.
blackboard,/ˈblæk.bɔːd/,A dark board on the wall for writing with chalk.,黒板,The teacher wrote on the blackboard.,Please clean the blackboard.,I can see the blackboard clearly.
chalk,/tʃɔːk/,A soft white stick used for writing on a blackboard.,チョーク,She picked up the chalk and wrote.,We need more chalk.,The chalk broke in half.
meat,/miːt/,The flesh of an animal eaten as food.,肉,I eat meat for dinner.,She does not eat meat.,What kind of meat do you like?
juice,/dʒuːs/,A drink made from fruit.,ジュース,I drink orange juice every morning.,Would you like some apple juice?,She poured juice into a glass.
sausage,/ˈsɒs.ɪdʒ/,A tube of meat mixed with spices.,ソーセージ,I had sausages for breakfast.,She grilled some sausages.,Do you like sausage?
toy,/tɔɪ/,An object for children to play with.,おもちゃ,The child played with his toys.,She bought a new toy.,This is my favorite toy.
do,/duː/,To perform an action.,する,What do you do on weekends?,I do my homework every day.,She does the dishes after dinner.
onion,/ˈʌn.jən/,A round vegetable that makes you cry when you cut it.,タマネギ,I put onions in the curry.,She cut the onion.,Onions make me cry.
promise,/ˈprɒm.ɪs/,To tell someone you will do something.,約束する,I promise to help you.,She promised to come early.,Please keep your promise.
jungle,/ˈdʒʌŋ.ɡəl/,A thick tropical forest.,ジャングル,Many animals live in the jungle.,The jungle is hot and wet.,We learned about the jungle in class.
adventure,/ədˈven.tʃər/,An exciting and unusual experience.,冒険,I read an adventure story.,She had a great adventure in the mountains.,Life is a big adventure.
by the way,/baɪ ðə weɪ/,Used to introduce a new topic.,ところで,"By the way, what is your name?","By the way, do you like music?","I bought a new book, by the way."
tower,/ˈtaʊ.ər/,A tall narrow building or structure.,塔,The Tokyo Tower is very famous.,We climbed the tower.,The tower is very tall.
fun,/fʌn/,Something that gives you enjoyment.,楽しみ・楽しいこと,Swimming is a lot of fun.,We had fun at the party.,That game was so much fun.
dirty,/ˈdɜː.ti/,Not clean.,汚れた・汚い,My shoes are very dirty.,Don't wear dirty clothes.,Please wash the dirty dishes.
camp,/kæmp/,A place where you stay in tents outdoors.,キャンプ・キャンプ場,We went to camp last summer.,The camp was near the lake.,I like going to camp.
bell,/bel/,A metal object that makes a ringing sound.,ベル・呼び鈴,The bell rings at eight.,She rang the bell.,The school bell rang loudly.
rain,/reɪn/,Water that falls from clouds in the sky.,雨が降る,It will rain tomorrow.,It rained all day yesterday.,It is raining outside.
sauce,/sɔːs/,A liquid added to food for flavor.,ソース,Put some sauce on the pasta.,This tomato sauce is delicious.,She made a special sauce.
cushion,/ˈkʊʃ.ən/,A soft bag filled with material for sitting on.,クッション,Sit on this cushion.,The cushion is very soft.,She put a cushion on the chair.
butter,/ˈbʌt.ər/,A yellow food made from milk used on bread.,バター,I put butter on my toast.,Please pass the butter.,She likes bread with butter.
teacup,/ˈtiː.kʌp/,A cup used for drinking tea.,ティーカップ,She poured tea into the teacup.,The teacup is very pretty.,Be careful with the teacup.
windy,/ˈwɪn.di/,Having a lot of wind.,風の強い,It is very windy today.,Hold your hat on windy days.,The beach is always windy.
soup,/suːp/,A liquid food made by cooking vegetables or meat.,スープ,I had hot soup for lunch.,She made tomato soup.,The soup is very warm.
uncle,/ˈʌŋ.kəl/,The brother of your mother or father.,おじ,My uncle lives in Osaka.,I visited my uncle last summer.,Uncle Kenji is a doctor.
nephew,/ˈnef.juː/,The son of your brother or sister.,おい,My nephew is five years old.,She plays with her nephew.,I gave a toy to my nephew.
niece,/niːs/,The daughter of your brother or sister.,めい,My niece loves reading.,She is my niece.,I bought a dress for my niece.
delicious,/dɪˈlɪʃ.əs/,Very good to eat.,美味しい,This cake is delicious!,She made a delicious dinner.,The food was very delicious.
turn,/tɜːn/,A chance to do something in order.,順番,It is your turn now.,Wait for your turn.,Whose turn is it next?
for the first time,/fɔːr ðə fɜːst taɪm/,On the first occasion ever.,初めて,I visited Kyoto for the first time.,She met him for the first time.,I ate sushi for the first time.
at last,/æt lɑːst/,After a long time or wait.,ついに,We arrived at the station at last.,I finished my homework at last.,The rain stopped at last.
toilet,/ˈtɔɪ.lət/,A piece of equipment used for going to the bathroom.,トイレ,Where is the toilet?,The toilet is down the hall.,Excuse me where is the toilet?
close,/kləʊs/,Near in distance.,近い,My school is close to my house.,She sat close to me.,The store is very close.
at first,/æt fɜːst/,In the beginning.,最初は,"At first, the game was difficult.","She was shy at first, but now she is friendly.",At first he did not like math.
sand,/sænd/,Tiny pieces of rock found on beaches.,砂,We played in the sand.,The sand is very hot.,She built a castle with sand.
quietly,/ˈkwaɪ.ət.li/,In a way that makes little noise.,静かに,Please speak quietly.,He opened the door quietly.,She quietly read her book.
happily,/ˈhæp.ɪ.li/,In a happy way.,幸福に・楽しく,She smiled happily.,They lived happily.,He happily accepted the gift.
parade,/pəˈreɪd/,A line of people walking together for a celebration.,パレード・行列,We watched the parade.,The parade was very exciting.,There is a parade on the holiday.
hurry,/ˈhʌr.i/,To move or do something quickly.,急ぐ,Hurry or we will be late!,She hurried to catch the train.,I am in a hurry.
tour,/tʊər/,A journey to visit several places.,周遊・ツアー,We took a bus tour of the city.,She went on a tour of Europe.,The tour was very fun.
kilometer,/ˈkɪl.ə.miː.tər/,A unit of distance equal to 1000 meters.,キロメートル,The school is two kilometers away.,I ran five kilometers today.,It is ten kilometers to the station.
attack,/əˈtæk/,To try to hurt someone or something.,攻撃する,The dog attacked the cat.,The castle was attacked at night.,Lions attack to catch food.
pork,/pɔːk/,Meat from a pig.,ぶた肉,I like pork curry.,She cooked pork for dinner.,Do you eat pork?
surprise,/sərˈpraɪz/,Something unexpected that makes you feel amazed.,驚き,What a nice surprise!,She planned a birthday surprise.,The news was a big surprise.
grapefruit,/ˈɡreɪp.fruːt/,A large round yellow fruit with a sour taste.,グレープフルーツ,I had grapefruit for breakfast.,Grapefruit juice is a little sour.,She likes eating grapefruit.
such,/sʌtʃ/,Of this type or to this degree.,そのような,She is such a kind person.,I have never seen such a big dog.,It was such a beautiful day.
take a picture,/teɪk ə ˈpɪk.tʃər/,To use a camera to make a photograph.,写真を撮る,Can you take a picture of us?,I took a picture of the flower.,Let's take a picture together.
how many,/haʊ ˈmen.i/,Used to ask about number.,いくつ・何個,How many books do you have?,How many students are in your class?,How many apples did you buy?
closed,/kləʊzd/,Not open.,閉まっている・閉店している,The store is closed today.,The door was closed.,The library is closed on Sundays.
convenience store,/kənˈviː.ni.əns stɔːr/,A small shop open long hours.,コンビニ,I went to the convenience store.,The convenience store is open all night.,She bought bread at the convenience store.
bookstore,/ˈbʊk.stɔːr/,A shop that sells books.,本屋,I bought a book at the bookstore.,The bookstore has many manga.,Let's go to the bookstore.
supermarket,/ˈsuː.pə.mɑː.kɪt/,A large store that sells food and household items.,スーパー,We buy food at the supermarket.,The supermarket is near my house.,She went to the supermarket.
department store,/dɪˈpɑːt.mənt stɔːr/,A large shop selling many different things.,デパート,My mother works at a department store.,We went shopping at the department store.,The department store is very big.
post office,/pəʊst ˈɒf.ɪs/,A place where you send and receive mail.,郵便局,I sent a letter at the post office.,Where is the nearest post office?,The post office closes at five.
festival,/ˈfes.tɪ.vəl/,A special event with fun activities.,お祭り・祝祭,The school festival was great.,We danced at the festival.,I love the summer festival.
concert,/ˈkɒn.sət/,A live performance of music.,コンサート,We went to a concert last night.,The concert was amazing.,She plays violin at concerts.
off,/ɒf/,Away from or reduced in price.,差し引いて・値引きされて,This shirt is 20% off.,She took the day off.,The shoes are on sale 30% off.
gym,/dʒɪm/,A place for exercise and sports.,体育館・ジム,We play basketball in the gym.,She goes to the gym every week.,The gym is on the second floor.
go back,/ɡəʊ bæk/,To return to a place.,戻る,I want to go back to my room.,When will you go back to school?,Let's go back now.
or,/ɔːr/,Used to give another choice.,または,Do you want tea or coffee?,You can go today or tomorrow.,Is it a cat or a dog?
classroom,/ˈklɑːs.ruːm/,A room where students learn.,教室,Our classroom is on the second floor.,The classroom is very clean.,There are 30 desks in the classroom.
each,/iːtʃ/,Every one in a group separately.,それぞれの,Each student has a book.,They help each other.,Each flower is different.
prize,/praɪz/,Something given as a reward for winning.,賞・賞品,She won the first prize.,The prize was a gold medal.,I hope to win a prize.
welcome,/ˈwel.kəm/,Glad to see someone or to receive something.,歓迎される,Welcome to our school!,You are always welcome here.,She gave us a warm welcome.
climb,/klaɪm/,To go up something using hands and feet.,登る,We climbed the mountain.,She climbed the stairs.,I climbed a tree when I was young.
foreigner,/ˈfɒr.ən.ər/,A person from another country.,外国人,Many foreigners visit Japan.,She spoke to a foreigner in English.,The town has few foreigners.
either,/ˈaɪ.ðər/,One or the other of two things.,どちらか一方の,You can choose either one.,I don't like either answer.,"I don't like sushi, and I don't like ramen either."
painting,/ˈpeɪn.tɪŋ/,A picture made using paint.,（絵の具で描かれた）絵・絵画,There is a beautiful painting on the wall.,She showed me her painting.,I like this painting very much.
examination,/ɪɡˌzæm.ɪˈneɪ.ʃən/,A formal test.,試験,The examination is next Monday.,She passed the entrance examination.,I studied hard for the examination.
classmate,/ˈklɑːs.meɪt/,A student in your class.,同級生・級友,She is my classmate.,I helped my classmate with math.,My classmate is from China.
ill,/ɪl/,Not feeling well.,具合が悪い・病気の,She is ill today.,He has been ill for a week.,I hope you are not ill.
truck,/trʌk/,A large vehicle for carrying heavy things.,トラック,A big truck passed our house.,The truck delivered the furniture.,He drives a truck for work.
chicken,/ˈtʃɪk.ɪn/,A common bird kept for eggs and meat.,とり肉・にわとり,I like fried chicken.,We had chicken for dinner.,She cooked chicken curry.
dish,/dɪʃ/,A container for food or a prepared meal.,皿・料理,This is my favorite dish.,Please wash the dishes.,She made a new Italian dish.
joke,/dʒəʊk/,Something said to make people laugh.,冗談,He told a funny joke.,It was just a joke.,She likes telling jokes.
jogging,/ˈdʒɒɡ.ɪŋ/,Running slowly for exercise.,ジョギング,I go jogging every morning.,Jogging is good for your health.,She started jogging last month.
skiing,/ˈskiː.ɪŋ/,The sport of moving over snow on skis.,スキー,We went skiing in Nagano.,I like skiing in winter.,She is good at skiing.
gift,/ɡɪft/,Something given to someone as a present.,プレゼント,I bought a gift for my mother.,Thank you for the lovely gift.,She received many gifts.
raincoat,/ˈreɪn.kəʊt/,A waterproof coat worn in the rain.,レインコート,Bring your raincoat tomorrow.,She wore a yellow raincoat.,I forgot my raincoat at school.
corner,/ˈkɔː.nər/,The point where two lines or walls meet.,角・曲がり角,Turn at the next corner.,The shop is on the corner.,She stood in the corner.
bookcase,/ˈbʊk.keɪs/,A piece of furniture with shelves for books.,本箱,The bookcase is full of books.,She put the dictionary in the bookcase.,We need a bigger bookcase.
curry,/ˈkʌr.i/,A spicy dish often served with rice.,カレー,I love Japanese curry.,She makes curry every week.,Curry rice is my favorite food.
cherry,/ˈtʃer.i/,A small red fruit or the tree it grows on.,サクラ・サクランボ,The cherry blossoms are beautiful.,I ate some sweet cherries.,We saw cherry trees in the park.
may,/meɪ/,Used to ask permission or show possibility.,～してもよい・～かもしれない,May I sit here?,It may rain tomorrow.,You may go home now.
fan,/fæn/,A person who likes something very much.,ファン,I am a big fan of this singer.,She is a soccer fan.,He has many fans.
fall,/fɔːl/,The season between summer and winter (American English).,秋（主にアメリカ）,The leaves change color in fall.,Fall is a beautiful season.,We go hiking in the fall.
smell,/smel/,To sense something with your nose.,匂いがする・嗅ぐ,This flower smells nice.,Something smells good in the kitchen.,I can smell the rain.
for,/fɔːr/,Used to show a purpose or reason.,～のために,This present is for you.,Thank you for your help.,I study for the test.
chocolate,/ˈtʃɒk.lət/,A sweet brown food made from cacao.,チョコレート,I love chocolate cake.,She gave me some chocolate.,Would you like some chocolate?
hairdresser,/ˈheə.dres.ər/,A person who cuts and styles hair.,美容師,I went to the hairdresser yesterday.,The hairdresser cut my hair short.,She wants to be a hairdresser.
shirt,/ʃɜːt/,A piece of clothing for the upper body.,シャツ,He wears a white shirt.,I bought a new shirt.,This shirt is too big for me.
beach,/biːtʃ/,An area of sand by the sea.,海辺・ビーチ,We went to the beach last summer.,The beach was very beautiful.,She collected shells on the beach.
scientist,/ˈsaɪ.ən.tɪst/,A person who studies science.,科学者,She wants to be a scientist.,The scientist made a discovery.,Many scientists work at this lab.
bathroom,/ˈbɑːθ.ruːm/,A room with a bath or shower.,浴室・お手洗い,The bathroom is clean.,Where is the bathroom?,She is in the bathroom.
about,/əˈbaʊt/,On the subject of.,～について,Tell me about your trip.,This book is about animals.,I am thinking about the future.
as,/æz/,In the role of or like.,～として,She works as a teacher.,He dressed up as a pirate.,I use this box as a desk.
aunt,/ɑːnt/,The sister of your mother or father.,おば,My aunt lives in Nagoya.,She visited her aunt.,Aunt Yuki is very kind.
barbecue,/ˈbɑː.bɪ.kjuː/,Cooking food over a fire outdoors.,バーベキュー,We had a barbecue in the park.,The barbecue was so much fun.,Let's have a barbecue this weekend.
beauty salon,/ˈbjuː.ti ˌsæl.ɒn/,A place where people get their hair and nails done.,美容院,She went to the beauty salon.,The beauty salon is near the station.,My sister works at a beauty salon.
better,/ˈbet.ər/,Of a higher quality than something else.,よりよい,This book is better than that one.,I feel better now.,She is a better singer than me.
calendar,/ˈkæl.ən.dər/,A chart showing the days and months of the year.,カレンダー・予定表,I marked the date on my calendar.,Check the calendar for the holiday.,She bought a new calendar.
city hall,/ˈsɪt.i hɔːl/,The building where a city government works.,市役所,My mother works at city hall.,City hall is in the center of town.,We went to city hall for a document.
crossword puzzle,/ˈkrɒs.wɜːd ˌpʌz.əl/,A word game played on a grid.,クロスワードパズル,She likes doing crossword puzzles.,I finished the crossword puzzle.,This crossword puzzle is difficult.
day by day,/deɪ baɪ deɪ/,Gradually over time.,日々・日ごとに,Her English is getting better day by day.,Day by day the weather gets warmer.,He is improving day by day.
eraser,/ɪˈreɪ.zər/,A piece of rubber used to remove pencil marks.,消しゴム,Can I borrow your eraser?,My eraser is very small.,She dropped her eraser on the floor.
even,/ˈiː.vən/,Used to emphasize something surprising.,～でさえ,Even children can do this.,She didn't even say goodbye.,I can't even swim.
flute,/fluːt/,A musical instrument you blow across.,フルート,She plays the flute beautifully.,I want to learn the flute.,The flute has a lovely sound.
gas station,/ɡæs ˈsteɪ.ʃən/,A place where you buy fuel for cars.,ガソリンスタンド,The gas station is on the left.,We stopped at a gas station.,Is there a gas station near here?
glad,/ɡlæd/,Feeling happy about something.,うれしい,I am glad you came.,She was glad to hear the news.,I am glad to meet you.
grandparent,/ˈɡrænd.peər.ənt/,The parent of your parent.,祖父母,I visit my grandparents every summer.,My grandparents live in the country.,She loves her grandparents.
high school,/haɪ skuːl/,A school for students after junior high school.,高校,My sister goes to high school.,He will enter high school next year.,I want to go to a good high school.
hockey,/ˈhɒk.i/,A sport played with sticks and a ball or puck.,ホッケー,He plays hockey after school.,Hockey is a fast sport.,She joined the hockey team.
honey,/ˈhʌn.i/,A sweet sticky food made by bees.,はちみつ,I put honey in my tea.,Honey is sweet and delicious.,She spread honey on her toast.
just,/dʒʌst/,Exactly or only.,ちょうど・ただ～だけ,I just arrived.,She is just a child.,It is just five o'clock.
lake,/leɪk/,A large area of water surrounded by land.,湖,We swam in the lake.,The lake is very beautiful.,There are fish in the lake.
mailbox,/ˈmeɪl.bɒks/,A box where letters are delivered or posted.,郵便受け・郵便ポスト,I put the letter in the mailbox.,Check the mailbox please.,The mailbox is near the gate.
pants,/pænts/,A piece of clothing for the legs.,ズボン,He wore black pants.,These pants are too long.,I bought new pants yesterday.
peanut,/ˈpiː.nʌt/,A small oval nut that grows in the ground.,ピーナッツ,I like peanut butter.,She is allergic to peanuts.,He ate a bag of peanuts.
post,/pəʊst/,Mail or a piece of wood or metal in the ground.,郵便・ポスト,Did the post come today?,She tied the rope to the post.,I will send it by post.
ribbon,/ˈrɪb.ən/,A narrow strip of material used for decoration.,リボン,She tied a ribbon in her hair.,The present had a red ribbon.,The girl wore a pink ribbon.
skirt,/skɜːt/,A piece of clothing that hangs from the waist.,スカート,She is wearing a blue skirt.,I bought a new skirt.,The skirt is too long.
social studies,/ˈsəʊ.ʃəl ˈstʌd.iz/,A school subject about society and history.,社会科,We have social studies today.,I like social studies class.,She got a good grade in social studies.
spring,/sprɪŋ/,The season between winter and summer.,春,Cherry blossoms bloom in spring.,Spring is warm and nice.,I like spring the best.
summer,/ˈsʌm.ər/,The hottest season of the year.,夏,We go swimming in summer.,Summer vacation is very long.,I love summer!
table tennis,/ˈteɪ.bəl ˌten.ɪs/,A sport played with small bats and a ball on a table.,卓球,I play table tennis after school.,She is good at table tennis.,We have a table tennis table in the gym.
take,/teɪk/,To carry something to another place.,持っていく・連れていく,Take your umbrella with you.,She took me to the park.,Please take this to the office.
weak,/wiːk/,Not strong.,弱い・もろい,I feel weak after running.,The old bridge is very weak.,She has weak eyes.
week,/wiːk/,A period of seven days.,週・1週間,There are seven days in a week.,I go swimming once a week.,See you next week!
weekend,/ˌwiːkˈend/,Saturday and Sunday.,週末,What do you do on weekends?,We went hiking last weekend.,I sleep late on the weekend.
winter,/ˈwɪn.tər/,The coldest season of the year.,冬,It snows a lot in winter.,Winter is very cold in Hokkaido.,I like winter sports.
year,/jɪər/,A period of twelve months.,年（度）・学年,I am thirteen years old.,She studies English every year.,Happy New Year!
yesterday,/ˈjes.tə.deɪ/,The day before today.,きのう,I played soccer yesterday.,She was sick yesterday.,What did you do yesterday?
enough,/ɪˈnʌf/,As much as is needed.,十分な,Do we have enough time?,I have enough money.,There is not enough space.
some,/sʌm/,An amount of something.,いくつかの・いくらかの,I ate some rice.,Would you like some water?,There are some books on the desk.
while,/waɪl/,During the time that.,～する間に,I read a book while waiting.,She fell asleep while studying.,Please wait a while.
Sweden,/ˈswiː.dən/,A country in northern Europe.,スウェーデン,Sweden is a beautiful country.,She wants to visit Sweden.,Sweden is famous for its nature.
living room,/ˈlɪv.ɪŋ ruːm/,The main room in a house for relaxing.,リビングルーム,We watch TV in the living room.,The living room is very large.,She reads in the living room.
stand up,/stænd ʌp/,To rise to your feet.,立ち上がる,Please stand up.,She stood up and left the room.,He stood up to answer the question.
pool,/puːl/,A place filled with water for swimming.,プール,Let's go to the pool today.,The pool is very clean.,She swims in the pool every day.
popular,/ˈpɒp.jʊ.lər/,Liked by many people.,人気のある,This song is very popular.,She is popular at school.,Sushi is popular around the world.
across,/əˈkrɒs/,From one side to the other.,～を横切って,She walked across the street.,The store is across from the station.,A bridge goes across the river.
round-trip,/ˈraʊnd.trɪp/,Going to a place and coming back.,往復の,I bought a round-trip ticket.,The round-trip takes two hours.,A round-trip ticket is cheaper.
Korea,/kəˈriː.ə/,A country in East Asia.,韓国・朝鮮,Have you ever been to Korea?,Korean food is very delicious.,Korea is near Japan.
step,/step/,The act of lifting your foot and putting it down.,歩み・一歩,Take one step forward.,Watch your step.,She took a step back.
play catch,/pleɪ kætʃ/,To throw and catch a ball with someone.,キャッチボールをする,I play catch with my brother.,Do you want to play catch?,They are playing catch outside.
fine,/faɪn/,In good health or of good quality.,元気な・大丈夫,I am fine thank you.,The weather is fine today.,She is doing fine.
thirsty,/ˈθɜː.sti/,Needing something to drink.,のどがかわいた,I am very thirsty.,She was thirsty after running.,Can I have some water? I am thirsty.
for example,/fɔːr ɪɡˈzɑːm.pəl/,Used to give a specific case.,たとえば,"I like sports, for example, soccer and tennis.","She speaks many languages, for example, English and French.","We sell fruits, for example, apples and oranges."
at once,/æt wʌns/,Right now or immediately.,すぐに,Please come here at once.,We must leave at once.,She answered at once.
teenager,/ˈtiːn.eɪ.dʒər/,A person between 13 and 19 years old.,10代の若者,She is a teenager.,Teenagers like video games.,Many teenagers use smartphones.
go for a walk,/ɡəʊ fɔːr ə wɔːk/,To walk for pleasure or exercise.,散歩に行く,Let's go for a walk in the park.,I go for a walk every evening.,They went for a walk after dinner.
everyone,/ˈev.ri.wʌn/,Every person.,みんな,Everyone is here.,She said hello to everyone.,Everyone enjoyed the party.
Thailand,/ˈtaɪ.lænd/,A country in Southeast Asia.,タイ,I want to visit Thailand.,Thai food is very delicious.,Thailand is famous for its temples.
firefighter,/ˈfaɪə.faɪ.tər/,A person whose job is to put out fires.,消防士,The firefighter saved the family.,He wants to be a firefighter.,Firefighters are very brave.
ask,/ɑːsk/,To say a question to someone.,たずねる・たのむ,Can I ask you a question?,She asked me for help.,I asked the teacher about the homework.
police officer,/pəˈliːs ˌɒf.ɪ.sər/,A person whose job is to keep people safe.,警察官,The police officer helped us.,She wants to be a police officer.,A police officer stopped the car.
yogurt,/ˈjɒɡ.ət/,A thick creamy food made from milk.,ヨーグルト,I eat yogurt every morning.,She likes strawberry yogurt.,Yogurt is good for your health.
go on a picnic,/ɡəʊ ɒn ə ˈpɪk.nɪk/,To eat a meal outdoors.,ピクニックに行く,We made sandwiches and went on a picnic.,Let's go on a picnic this Saturday.,They went on a picnic near the lake.
reason,/ˈriː.zən/,The cause or explanation for something.,理由,What is the reason for being late?,She has a good reason.,Tell me the reason.
under,/ˈʌn.dər/,Below or beneath something.,～の下に,The cat is under the table.,She hid under the bed.,My shoes are under the chair.
along,/əˈlɒŋ/,In a line next to something.,～に沿って,We walked along the river.,There are shops along the street.,She ran along the beach.
because,/bɪˈkɒz/,For the reason that.,～なので・なぜなら,I stayed home because I was sick.,She is happy because she won.,I study hard because I want to pass.
please,/pliːz/,Used to ask politely.,どうぞ・どうか,Please sit down.,Can you help me please?,Please open the window.
also,/ˈɔːl.səʊ/,In addition or too.,～もまた,I also like tennis.,She is also my friend.,He can also speak French.
one day,/wʌn deɪ/,At some time in the past or future.,ある日・いつか,One day I went to the beach.,I want to visit Paris one day.,One day she will be a doctor.
for a long time,/fɔːr ə lɒŋ taɪm/,For an extended period.,長い間,They have been friends for a long time.,I waited for the bus for a long time.,He lived in London for a long time.
grandfather,/ˈɡrænd.fɑː.ðər/,The father of your father or mother.,祖父・おじいさん,My grandfather is 80 years old.,He looks like his grandfather.,Grandfather tells us old stories.
together,/təˈɡeð.ər/,With each other or in a group.,一緒に,Let's go together.,We studied together.,They sang a song together.
usually,/ˈjuː.ʒu.ə.li/,Most of the time.,たいてい,I usually walk to school.,She usually eats breakfast at seven.,We usually play soccer on Saturdays.
each other,/iːtʃ ˈʌð.ər/,One another.,（二人の間で）お互い（に）,We help each other.,They looked at each other.,Let's talk to each other.
hungry,/ˈhʌŋ.ɡri/,Wanting or needing food.,空腹の,I am very hungry.,She was hungry after school.,Are you hungry?
go shopping,/ɡəʊ ˈʃɒp.ɪŋ/,To go to shops to buy things.,買い物に行く,Let's go shopping this weekend.,I went shopping with my mother.,She likes to go shopping.
write to,/raɪt tuː/,To write a letter to someone.,～に手紙を書く,Don't forget to write to your grandmother.,I will write to my friend in Canada.,She writes to me every month.
